claim_text,atomic_claim,speaker,role,party,source_name,source_url,publication_date,fetched_at
Camilleri told the committee she had reported the matter to the Permanent Secretary within the Health Ministry.,Roseanne Camilleri told the Public Appointments Committee that she had reported the cost overruns matter to the Permanent Secretary within the Health Ministry.,Roseanne Camilleri,Nominee for non-resident ambassador to Liechtenstein,unknown,Newsbook,https://newsbook.com.mt/en/delia-claims-breach-of-privilege-after-threatening-messages-from-ambassador-nominees-partner/,2026-04-20,2026-04-21 09:27 UTC
Speaker AnÃÂÃÂ¡lu Farrugia asked Delia to pass over all correspondence and messages he received.,Speaker AnÃÂÃÂ¡lu Farrugia asked Adrian Delia to hand over all correspondence and messages he received relating to the complaint.,AnÃÂÃÂ¡lu Farrugia,Speaker of the House,unknown,Newsbook,https://newsbook.com.mt/en/delia-claims-breach-of-privilege-after-threatening-messages-from-ambassador-nominees-partner/,2026-04-20,2026-04-21 09:27 UTC
"The MP has agreed to hand over everything, including his phone, to allow the Speaker to verify the veracity of the complaint.",Adrian Delia agreed to hand over all correspondence and his mobile phone to the Speaker to verify the veracity of the breach of privilege complaint.,Adrian Delia,Nationalist Party MP,PN,Newsbook,https://newsbook.com.mt/en/delia-claims-breach-of-privilege-after-threatening-messages-from-ambassador-nominees-partner/,2026-04-20,2026-04-21 09:27 UTC
"The committee also heard Marco Micallef, nominated for the role of resident ambassador to the United States.","The Public Appointments Committee heard Marco Micallef, who was nominated for the role of resident ambassador to the United States.",unknown,,unknown,Newsbook,https://newsbook.com.mt/en/delia-claims-breach-of-privilege-after-threatening-messages-from-ambassador-nominees-partner/,2026-04-20,2026-04-21 09:27 UTC
"A masked hunter was jailed after attempting to escape arrest by throwing away his shotgun and pulling a police sergeant downhill, causing minor injuries, during a confrontation with environmental officers in XgÃÂÃÂ§ajra.","A masked hunter in XgÃÂÃÂ§ajra was jailed after throwing away his shotgun and pulling a police sergeant downhill during a confrontation with environmental officers, causing minor injuries to the officer.",BirdLife Malta,Conservation organisation,unknown,Newsbook,https://newsbook.com.mt/en/watch-masked-hunter-throws-gun-drags-police-officer-downhill-in-xghajra/,2026-04-20,2026-04-21 09:27 UTC
"The hunter was subsequently jailed due to previous offences, including other cases of hunting without a licence previously reported by BirdLife Malta.","The hunter arrested in XgÃÂÃÂ§ajra was jailed due to previous offences, including prior cases of hunting without a licence.",BirdLife Malta,Conservation organisation,unknown,Newsbook,https://newsbook.com.mt/en/watch-masked-hunter-throws-gun-drags-police-officer-downhill-in-xghajra/,2026-04-20,2026-04-21 09:27 UTC
"The arrest came during the first week of Malta's spring hunting season, which officially permits only the hunting of common quail.",Malta's spring hunting season officially permits only the hunting of common quail.,unknown,,unknown,Newsbook,https://newsbook.com.mt/en/watch-masked-hunter-throws-gun-drags-police-officer-downhill-in-xghajra/,2026-04-20,2026-04-21 09:27 UTC
BirdLife Malta estimates that 72% of hunters observed over six mornings between Monday 13 April and Saturday 18 April were instead primarily targeting turtle-doves.,BirdLife Malta estimates that 72% of hunters observed over six mornings between 13 April and 18 April 2025 were primarily targeting turtle-doves rather than quail.,BirdLife Malta,Conservation organisation,unknown,Newsbook,https://newsbook.com.mt/en/watch-masked-hunter-throws-gun-drags-police-officer-downhill-in-xghajra/,2026-04-20,2026-04-21 09:27 UTC
"BirdLife says it documented multiple incidents of illegal activity including the use of live or artificial decoys, electronic callers to attract migrating birds, and coordinated shooting following radio communication between hunters regarding incoming birds.",BirdLife Malta documented incidents of hunters using live or artificial decoys during the 2025 spring hunting season.,BirdLife Malta,Conservation organisation,unknown,Newsbook,https://newsbook.com.mt/en/watch-masked-hunter-throws-gun-drags-police-officer-downhill-in-xghajra/,2026-04-20,2026-04-21 09:27 UTC
"BirdLife says it documented multiple incidents of illegal activity including the use of live or artificial decoys, electronic callers to attract migrating birds, and coordinated shooting following radio communication between hunters regarding incoming birds.",BirdLife Malta documented incidents of hunters using electronic callers to attract migrating birds during the 2025 spring hunting season.,BirdLife Malta,Conservation organisation,unknown,Newsbook,https://newsbook.com.mt/en/watch-masked-hunter-throws-gun-drags-police-officer-downhill-in-xghajra/,2026-04-20,2026-04-21 09:27 UTC
"BirdLife says it documented multiple incidents of illegal activity including the use of live or artificial decoys, electronic callers to attract migrating birds, and coordinated shooting following radio communication between hunters regarding incoming birds.",BirdLife Malta documented incidents of coordinated shooting by hunters using radio communication to alert each other about incoming birds during the 2025 spring hunting season.,BirdLife Malta,Conservation organisation,unknown,Newsbook,https://newsbook.com.mt/en/watch-masked-hunter-throws-gun-drags-police-officer-downhill-in-xghajra/,2026-04-20,2026-04-21 09:27 UTC
A shot turtle-dove was recovered from ÃÂÃÂ ebel Ciantar on Friday afternoon and admitted for rehabilitation. A veterinary examination confirmed the presence of lead pellets and a dislocated shoulder.,A turtle-dove recovered from ÃÂÃÂ ebel Ciantar on Friday was confirmed by veterinary examination to have lead pellets in its body and a dislocated shoulder.,BirdLife Malta,Conservation organisation,unknown,Newsbook,https://newsbook.com.mt/en/watch-masked-hunter-throws-gun-drags-police-officer-downhill-in-xghajra/,2026-04-20,2026-04-21 09:27 UTC
Video evidence of multiple incidents has been submitted to the EPU for further investigation.,BirdLife Malta submitted video evidence of multiple illegal hunting incidents to the Environmental Protection Unit for further investigation.,BirdLife Malta,Conservation organisation,unknown,Newsbook,https://newsbook.com.mt/en/watch-masked-hunter-throws-gun-drags-police-officer-downhill-in-xghajra/,2026-04-20,2026-04-21 09:27 UTC
"With just under 8,000 licences issued this season, BirdLife questions whether adequate enforcement is feasible given the limited resources afforded to the EPU and its absence from Gozo.","Just under 8,000 hunting licences were issued in Malta for the 2025 spring hunting season.",BirdLife Malta,Conservation organisation,unknown,Newsbook,https://newsbook.com.mt/en/watch-masked-hunter-throws-gun-drags-police-officer-downhill-in-xghajra/,2026-04-20,2026-04-21 09:27 UTC
"BirdLife questions whether adequate enforcement is feasible given the limited resources afforded to the EPU and its absence from Gozo, where police presence is typically triggered only by NGO reports.","The Environmental Protection Unit has no permanent presence in Gozo, where police attendance is typically triggered only by NGO reports.",BirdLife Malta,Conservation organisation,unknown,Newsbook,https://newsbook.com.mt/en/watch-masked-hunter-throws-gun-drags-police-officer-downhill-in-xghajra/,2026-04-20,2026-04-21 09:27 UTC
"The European turtle-dove is classified as vulnerable and red-listed, with populations in steep decline across the continent.","The European turtle-dove is classified as vulnerable and red-listed, with populations in steep decline across Europe.",unknown,,unknown,Newsbook,https://newsbook.com.mt/en/watch-masked-hunter-throws-gun-drags-police-officer-downhill-in-xghajra/,2026-04-20,2026-04-21 09:27 UTC
"Under the EU's Birds Directive, spring hunting is generally prohibited to protect birds returning to breed, but Malta repeatedly invokes derogations to bypass these rules.","Under the EU Birds Directive, spring hunting is generally prohibited to protect birds returning to breed.",unknown,,unknown,Newsbook,https://newsbook.com.mt/en/watch-masked-hunter-throws-gun-drags-police-officer-downhill-in-xghajra/,2026-04-20,2026-04-21 09:27 UTC
Malta repeatedly invokes derogations to bypass these rules.,Malta repeatedly invokes derogations from the EU Birds Directive to permit spring hunting.,unknown,,unknown,Newsbook,https://newsbook.com.mt/en/watch-masked-hunter-throws-gun-drags-police-officer-downhill-in-xghajra/,2026-04-20,2026-04-21 09:27 UTC
"'Claims that the 1,500 turtle-dove quota is controlled are simply false,' Barbara added. Fewer than 10% of hunters use the existing reporting mechanism.","Malta's spring hunting season has a turtle-dove quota of 1,500 birds.",Nicholas Barbara,"Head of Conservation, BirdLife Malta",unknown,Newsbook,https://newsbook.com.mt/en/watch-masked-hunter-throws-gun-drags-police-officer-downhill-in-xghajra/,2026-04-20,2026-04-21 09:27 UTC
Fewer than 10% of hunters use the existing reporting mechanism.,Fewer than 10% of hunters use the existing turtle-dove reporting mechanism during Malta's spring hunting season.,Nicholas Barbara,"Head of Conservation, BirdLife Malta",unknown,Newsbook,https://newsbook.com.mt/en/watch-masked-hunter-throws-gun-drags-police-officer-downhill-in-xghajra/,2026-04-20,2026-04-21 09:27 UTC
BirdLife Malta is calling on the European Commission to closely scrutinise the derogation reports submitted by Malta's Wild Birds Regulation Unit.,BirdLife Malta has called on the European Commission to closely scrutinise the derogation reports submitted by Malta's Wild Birds Regulation Unit.,BirdLife Malta,Conservation organisation,unknown,Newsbook,https://newsbook.com.mt/en/watch-masked-hunter-throws-gun-drags-police-officer-downhill-in-xghajra/,2026-04-20,2026-04-21 09:27 UTC
BirdLife Malta has invited Commission representatives to visit Malta during the spring hunting period to join its monitoring operations.,BirdLife Malta has invited European Commission representatives to visit Malta during the spring hunting period to observe its monitoring operations.,BirdLife Malta,Conservation organisation,unknown,Newsbook,https://newsbook.com.mt/en/watch-masked-hunter-throws-gun-drags-police-officer-downhill-in-xghajra/,2026-04-20,2026-04-21 09:27 UTC
"The affected product is 'Salmone Affumicato Norvegese con pistacchio', sold under the Deluxe brand in 100g packs.","The recalled product is 'Salmone Affumicato Norvegese con pistacchio', sold under the Deluxe brand in 100g packs.",Food Safety and Security Authority,Public food safety body,unknown,Newsbook,https://newsbook.com.mt/en/food-safety-warning-over-smoked-salmon-with-pistachio/,2026-04-20,2026-04-21 09:27 UTC
It bears lot number LC22606501 and has a 'use by' date of 21 April 2026.,The recalled product bears lot number LC22606501 and has a 'use by' date of 21 April 2026.,Food Safety and Security Authority,Public food safety body,unknown,Newsbook,https://newsbook.com.mt/en/food-safety-warning-over-smoked-salmon-with-pistachio/,2026-04-20,2026-04-21 09:27 UTC
Queues of up to 40 minutes are occurring at Malta International Airport due to the EU's new digital border system.,Queues of up to 40 minutes have been recorded at Malta International Airport as a result of the EU's Entry/Exit System rollout.,unknown,,unknown,Newsbook,https://newsbook.com.mt/en/pn-calls-for-urgent-action-over-airport-delays-linked-to-eu-border-system/,2026-04-20,2026-04-21 09:27 UTC
Ryanair has warned it may redirect seat capacity away from Malta ahead of the summer season.,Ryanair has warned it may redirect seat capacity away from Malta to other destinations ahead of the summer season.,unknown,,unknown,Newsbook,https://newsbook.com.mt/en/pn-calls-for-urgent-action-over-airport-delays-linked-to-eu-border-system/,2026-04-20,2026-04-21 09:27 UTC
"The PN statement read: 'Not for the first time, the government has been found lacking in planning. Failure to act will lead to chaos at the airport.'",The Nationalist Party stated that the government has been found lacking in planning and warned that failure to act will lead to chaos at Malta International Airport.,Mario de Marco and Darren Carabott,Shadow ministers for tourism and home affairs,PN,Newsbook,https://newsbook.com.mt/en/pn-calls-for-urgent-action-over-airport-delays-linked-to-eu-border-system/,2026-04-20,2026-04-21 09:27 UTC
The EU's Entry/Exit System is a digital border management scheme requiring biometric data collection and advanced passport scanning for all non-EU nationals.,The EU's Entry/Exit System requires biometric data collection and advanced passport scanning for all non-EU nationals.,unknown,,unknown,Newsbook,https://newsbook.com.mt/en/pn-calls-for-urgent-action-over-airport-delays-linked-to-eu-border-system/,2026-04-20,2026-04-21 09:27 UTC
Queues have reached 40 minutes during busy periods at Malta International Airport.,Queues at Malta International Airport's passport control have reached 40 minutes during busy periods due to the EES rollout.,unknown,,unknown,Newsbook,https://newsbook.com.mt/en/pn-calls-for-urgent-action-over-airport-delays-linked-to-eu-border-system/,2026-04-20,2026-04-21 09:27 UTC
One passenger last week reported waiting 20 minutes aboard a tarmac bus due to congestion at passport control before even reaching the terminal.,A passenger reported waiting 20 minutes on a tarmac bus due to passport control congestion at Malta International Airport before reaching the terminal.,unknown,,unknown,Newsbook,https://newsbook.com.mt/en/pn-calls-for-urgent-action-over-airport-delays-linked-to-eu-border-system/,2026-04-20,2026-04-21 09:27 UTC
"In June 2024, Newsbook Malta revealed the home affairs ministry admitted to a 'race against time' to meet the October deadline, risking potential Schengen suspension due to system incompatibility.","In June 2024, Malta's home affairs ministry admitted to a 'race against time' to meet the October EES deadline, with a risk of potential Schengen suspension due to system incompatibility.",Ministry of Home Affairs,Government ministry,unknown,Newsbook,https://newsbook.com.mt/en/pn-calls-for-urgent-action-over-airport-delays-linked-to-eu-border-system/,2026-04-20,2026-04-21 09:27 UTC
MEP Peter Agius warned of a 'real risk' of Schengen suspension as the government prepared a temporary manual system.,MEP Peter Agius warned of a 'real risk' of Malta's Schengen suspension as the government prepared a temporary manual EES system.,Peter Agius,MEP,PN,Newsbook,https://newsbook.com.mt/en/pn-calls-for-urgent-action-over-airport-delays-linked-to-eu-border-system/,2026-04-20,2026-04-21 09:27 UTC
Malta Air chief executive David O'Brien wrote to home affairs Minister Byron Camilleri seeking assurances that border controls would be fully staffed for summer.,Malta Air chief executive David O'Brien wrote to Home Affairs Minister Byron Camilleri seeking assurances that border controls would be fully staffed during summer.,unknown,,unknown,Newsbook,https://newsbook.com.mt/en/pn-calls-for-urgent-action-over-airport-delays-linked-to-eu-border-system/,2026-04-20,2026-04-21 09:27 UTC
"O'Brien said: 'If we find ourselves with significant congestion and delay, we would have to redirect capacity away from Malta to other destinations.'",Malta Air chief executive David O'Brien said that significant congestion and delay at Malta airport would force the airline to redirect capacity away from Malta to other destinations.,David O'Brien,"Chief Executive, Malta Air",unknown,Newsbook,https://newsbook.com.mt/en/pn-calls-for-urgent-action-over-airport-delays-linked-to-eu-border-system/,2026-04-20,2026-04-21 09:27 UTC
O'Brien said Europe was 'utterly unprepared in a general sense' for the system's demands.,Malta Air chief executive David O'Brien said Europe was 'utterly unprepared' for the demands of the EU's Entry/Exit System.,David O'Brien,"Chief Executive, Malta Air",unknown,Newsbook,https://newsbook.com.mt/en/pn-calls-for-urgent-action-over-airport-delays-linked-to-eu-border-system/,2026-04-20,2026-04-21 09:27 UTC
The UK is Malta's single largest tourism market.,The United Kingdom is Malta's single largest tourism market.,unknown,,unknown,Newsbook,https://newsbook.com.mt/en/pn-calls-for-urgent-action-over-airport-delays-linked-to-eu-border-system/,2026-04-20,2026-04-21 09:27 UTC
British travellers now fall within the EES remit following Brexit.,British travellers are now subject to the EU's Entry/Exit System requirements following Brexit.,unknown,,unknown,Newsbook,https://newsbook.com.mt/en/pn-calls-for-urgent-action-over-airport-delays-linked-to-eu-border-system/,2026-04-20,2026-04-21 09:27 UTC
KM Malta executive chairman David Curmi warned that delays could trigger costly passenger compensation claims payable by airlines even when hold-ups originate with border control systems.,KM Malta executive chairman David Curmi warned that EES-related delays could trigger costly passenger compensation claims payable by airlines even when the hold-ups originate with border control systems.,David Curmi,"Executive Chairman, KM Malta",unknown,Newsbook,https://newsbook.com.mt/en/pn-calls-for-urgent-action-over-airport-delays-linked-to-eu-border-system/,2026-04-20,2026-04-21 09:27 UTC
Both carriers (Malta Air/Ryanair and KM Malta) have backed industry calls for a temporary EES suspension during peak summer months.,Both Malta Air (Ryanair) and KM Malta have backed industry calls for a temporary suspension of the EU's Entry/Exit System during peak summer months.,unknown,,unknown,Newsbook,https://newsbook.com.mt/en/pn-calls-for-urgent-action-over-airport-delays-linked-to-eu-border-system/,2026-04-20,2026-04-21 09:27 UTC
Malta International Airport chief executive Alan Borg said the airport was working with police to improve processing times and adding immigration desks.,Malta International Airport chief executive Alan Borg said the airport was working with police to improve EES processing times and was adding immigration desks.,Alan Borg,"Chief Executive, Malta International Airport",unknown,Newsbook,https://newsbook.com.mt/en/pn-calls-for-urgent-action-over-airport-delays-linked-to-eu-border-system/,2026-04-20,2026-04-21 09:27 UTC
Tourism minister Ian Borg confirmed the government was in talks with the European Commission and the United Kingdom.,Tourism Minister Ian Borg confirmed that the Maltese government was in talks with the European Commission and the United Kingdom regarding the EES situation.,Ian Borg,"Minister for Tourism, Deputy Prime Minister",PL,Newsbook,https://newsbook.com.mt/en/pn-calls-for-urgent-action-over-airport-delays-linked-to-eu-border-system/,2026-04-20,2026-04-21 09:27 UTC
Ian Borg said Malta was not considering suspending EES implementation.,Tourism Minister Ian Borg said Malta was not considering suspending implementation of the EU's Entry/Exit System.,Ian Borg,"Minister for Tourism, Deputy Prime Minister",PL,Newsbook,https://newsbook.com.mt/en/pn-calls-for-urgent-action-over-airport-delays-linked-to-eu-border-system/,2026-04-20,2026-04-21 09:27 UTC
The home affairs ministry said existing resources were already operating at full capacity.,Malta's Home Affairs Ministry stated that existing border control resources were already operating at full capacity.,Ministry of Home Affairs,Government ministry,unknown,Newsbook,https://newsbook.com.mt/en/pn-calls-for-urgent-action-over-airport-delays-linked-to-eu-border-system/,2026-04-20,2026-04-21 09:27 UTC
The Archdiocese of Malta denied allegations published by The Shift News concerning the conversion of an ODZ farmhouse for Archbishop Charles Scicluna.,The Archdiocese of Malta denied allegations published by The Shift News concerning the conversion of an ODZ farmhouse for Archbishop Charles Scicluna.,Archdiocese of Malta,Religious institution,unknown,Newsbook,https://newsbook.com.mt/en/church-rejects-false-and-misleading-claims-over-farmhouse-renovation/,2026-04-20,2026-04-21 09:28 UTC
The article claimed the property was being used by the Archbishop for 'private gatherings with friends' at weekends.,The Shift News alleged that an ODZ farmhouse was being used by Archbishop Charles Scicluna for private gatherings with friends at weekends.,unknown,,unknown,Newsbook,https://newsbook.com.mt/en/church-rejects-false-and-misleading-claims-over-farmhouse-renovation/,2026-04-20,2026-04-21 09:28 UTC
The Archdiocese said neither the Archbishop nor anyone else had organised or held gatherings there.,The Archdiocese of Malta stated that neither Archbishop Scicluna nor anyone else had organised or held gatherings at the ODZ farmhouse property.,Archdiocese of Malta,Religious institution,unknown,Newsbook,https://newsbook.com.mt/en/church-rejects-false-and-misleading-claims-over-farmhouse-renovation/,2026-04-20,2026-04-21 09:28 UTC
"The property, located on the outskirts of Rabat, is currently not habitable.","The ODZ farmhouse associated with Archbishop Scicluna, located on the outskirts of Rabat, is currently not habitable.",Archdiocese of Malta,Religious institution,unknown,Newsbook,https://newsbook.com.mt/en/church-rejects-false-and-misleading-claims-over-farmhouse-renovation/,2026-04-20,2026-04-21 09:28 UTC
"The decision to renovate it was taken to prevent further disrepair and potential misuse, including the risk of abandonment or illegal occupation.","The Archdiocese of Malta said the decision to renovate the ODZ farmhouse was taken to prevent further disrepair and potential misuse, including the risk of abandonment or illegal occupation.",Archdiocese of Malta,Religious institution,unknown,Newsbook,https://newsbook.com.mt/en/church-rejects-false-and-misleading-claims-over-farmhouse-renovation/,2026-04-20,2026-04-21 09:28 UTC
"The Archdiocese dismissed suggestions that expenditure on the works was 'excessive', describing such claims as 'unfounded and irresponsible'.",The Archdiocese of Malta dismissed as unfounded and irresponsible suggestions that expenditure on renovation works to the ODZ farmhouse was excessive.,Archdiocese of Malta,Religious institution,unknown,Newsbook,https://newsbook.com.mt/en/church-rejects-false-and-misleading-claims-over-farmhouse-renovation/,2026-04-20,2026-04-21 09:28 UTC
The interventions involved no luxury finishes or interior designers.,The Archdiocese of Malta stated that renovation works on the ODZ farmhouse involved no luxury finishes or interior designers.,Archdiocese of Malta,Religious institution,unknown,Newsbook,https://newsbook.com.mt/en/church-rejects-false-and-misleading-claims-over-farmhouse-renovation/,2026-04-20,2026-04-21 09:28 UTC
The Archdiocese said it reserved the right to take further steps to safeguard its reputation.,The Archdiocese of Malta stated it reserved the right to take further legal or other steps to safeguard its reputation in relation to The Shift News article.,Archdiocese of Malta,Religious institution,unknown,Newsbook,https://newsbook.com.mt/en/church-rejects-false-and-misleading-claims-over-farmhouse-renovation/,2026-04-20,2026-04-21 09:28 UTC
140 sectoral understandings have been concluded since 2022,140 sectoral understandings have been concluded since 2022.,Robert Abela,Prime Minister,PL,Lovin Malta,https://lovinmalta.com/malta/e2-billion-boost-to-wages-since-2022-highlighted-in-new-cpd-agreement/,2026-04-21,2026-04-21 09:28 UTC
a ÃÂ¢ÃÂÃÂ¬2 billion investment in wage increases since 2022,The Maltese government has invested ÃÂ¢ÃÂÃÂ¬2 billion in wage increases since 2022.,Robert Abela,Prime Minister,PL,Lovin Malta,https://lovinmalta.com/malta/e2-billion-boost-to-wages-since-2022-highlighted-in-new-cpd-agreement/,2026-04-21,2026-04-21 09:28 UTC
The sectoral understanding being signed for the CPD followed up the one signed in 2021,A previous sectoral understanding for the Civil Protection Department was signed in 2021.,unknown,,unknown,Lovin Malta,https://lovinmalta.com/malta/e2-billion-boost-to-wages-since-2022-highlighted-in-new-cpd-agreement/,2026-04-21,2026-04-21 09:28 UTC
"This understanding also includes an allowance of ÃÂ¢ÃÂÃÂ¬1,500","The new CPD sectoral understanding includes an allowance of ÃÂ¢ÃÂÃÂ¬1,500.",unknown,,unknown,Lovin Malta,https://lovinmalta.com/malta/e2-billion-boost-to-wages-since-2022-highlighted-in-new-cpd-agreement/,2026-04-21,2026-04-21 09:28 UTC
"an increase of less than ÃÂ¢ÃÂÃÂ¬2,200 annually","The new CPD sectoral understanding includes an annual wage increase of less than ÃÂ¢ÃÂÃÂ¬2,200.",unknown,,unknown,Lovin Malta,https://lovinmalta.com/malta/e2-billion-boost-to-wages-since-2022-highlighted-in-new-cpd-agreement/,2026-04-21,2026-04-21 09:28 UTC
a more rapid progression scale,The new CPD sectoral understanding includes a more rapid career progression scale.,unknown,,unknown,Lovin Malta,https://lovinmalta.com/malta/e2-billion-boost-to-wages-since-2022-highlighted-in-new-cpd-agreement/,2026-04-21,2026-04-21 09:28 UTC
An estimated 72% of observed hunters were not targeting Common Quail but were instead primarily aiming at Turtle-dove during the first week of this year's spring hunting season.,"During the first week of Malta's 2025 spring hunting season, an estimated 72% of observed hunters were primarily targeting Turtle-dove rather than Common Quail.",BirdLife Malta,Non-governmental conservation organisation,unknown,Lovin Malta,https://lovinmalta.com/lifestyle/pets/birdlife-malta-reports-multiple-turtle-doves-shot-illegally-in-first-week-of-spring/,2026-04-20,2026-04-21 09:28 UTC
Observations were conducted over six mornings between 13th April and 18th April.,BirdLife Malta's Spring Watch monitoring was conducted over six mornings between 13th April and 18th April 2025.,BirdLife Malta,Non-governmental conservation organisation,unknown,Lovin Malta,https://lovinmalta.com/lifestyle/pets/birdlife-malta-reports-multiple-turtle-doves-shot-illegally-in-first-week-of-spring/,2026-04-20,2026-04-21 09:28 UTC
"The figures are described as conservative, particularly in areas such as MiÃÂÃÂ¼ieb and AÃÂÃÂ§rax, where dense woodland limits visibility.","BirdLife Malta's monitoring figures are considered conservative estimates, particularly for the MiÃÂÃÂ¼ieb and AÃÂÃÂ§rax areas where dense woodland limits visibility.",BirdLife Malta,Non-governmental conservation organisation,unknown,Lovin Malta,https://lovinmalta.com/lifestyle/pets/birdlife-malta-reports-multiple-turtle-doves-shot-illegally-in-first-week-of-spring/,2026-04-20,2026-04-21 09:28 UTC
"BirdLife Malta reported multiple incidents to the police which point to widespread illegal targeting of Turtle-doves, including the use of live or artificial decoys.",BirdLife Malta reported to police multiple incidents involving the use of live or artificial decoys to illegally attract Turtle-doves.,BirdLife Malta,Non-governmental conservation organisation,unknown,Lovin Malta,https://lovinmalta.com/lifestyle/pets/birdlife-malta-reports-multiple-turtle-doves-shot-illegally-in-first-week-of-spring/,2026-04-20,2026-04-21 09:28 UTC
A shot Turtle-dove was recovered from ÃÂÃÂ ebel Ciantar on Friday afternoon and admitted for rehabilitation. A veterinary examination confirmed the presence of lead pellets and a dislocated shoulder.,"A Turtle-dove shot at ÃÂÃÂ ebel Ciantar was recovered on a Friday afternoon during the 2025 spring hunting season and admitted for rehabilitation, with veterinary examination confirming lead pellets and a dislocated shoulder.",BirdLife Malta,Non-governmental conservation organisation,unknown,Lovin Malta,https://lovinmalta.com/lifestyle/pets/birdlife-malta-reports-multiple-turtle-doves-shot-illegally-in-first-week-of-spring/,2026-04-20,2026-04-21 09:28 UTC
"On Saturday, a BirdLife Malta team in XgÃÂÃÂ§ajra filmed a masked individual allegedly pursuing Turtle-doves under Fort St Leonard. EPU officers arrived on site and apprehended the individual.",EPU officers apprehended a masked individual allegedly pursuing Turtle-doves under Fort St Leonard in XgÃÂÃÂ§ajra after being alerted by a BirdLife Malta team during the 2025 spring hunting season.,BirdLife Malta,Non-governmental conservation organisation,unknown,Lovin Malta,https://lovinmalta.com/lifestyle/pets/birdlife-malta-reports-multiple-turtle-doves-shot-illegally-in-first-week-of-spring/,2026-04-20,2026-04-21 09:28 UTC
